S0	 0.093750 0.013125 0.000000 0.000000 0.421981 0.011042 0.000104 0.000104 0.098756 0.001876 0.000000 0.000000 0.065631 0.001772 0.000000 0.000000 0.240428 0.002462 0.000006 0.000000 0.039897 0.000000 0.000000 0.000000 0.003542 0.000000 0.000000 0.000000 0.005626 0.000000 0.000000 0.000000
S1	 0.000010 0.000355 0.000209 0.010315 0.048960 0.515833 0.023125 0.007396 0.027084 0.023854 0.000729 0.011772 0.010314 0.211146 0.014896 0.005313 0.000106 0.024614 0.051674 0.007292 0.000000 0.000000 0.000000 0.005104 0.000001 0.000000 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000
S2	 0.000730 0.000000 0.000000 0.000209 0.015320 0.087194 0.096460 0.050835 0.081359 0.143439 0.078334 0.071147 0.177624 0.075530 0.018960 0.010315 0.017830 0.046686 0.007504 0.011253 0.000000 0.001146 0.001146 0.006563 0.000000 0.000208 0.000208 0.000000 0.000000 0.000000 0.000000 0.000104
S3	 0.001668 0.038785 0.415985 0.311987 0.016882 0.160629 0.033021 0.006355 0.000000 0.000104 0.000104 0.004583 0.000000 0.000000 0.000104 0.000208 0.000000 0.000104 0.000208 0.001042 0.000208 0.000312 0.000208 0.007396 0.000000 0.000000 0.000000 0.000000 0.000000 0.000104 0.000000 0.000104
S4	 0.003334 0.052296 0.093441 0.113753 0.007813 0.127960 0.468377 0.117400 0.000000 0.000313 0.000104 0.005834 0.000104 0.000104 0.000104 0.000417 0.000104 0.000208 0.000208 0.001771 0.000000 0.000313 0.000208 0.002813 0.000000 0.000625 0.000208 0.000938 0.000000 0.000417 0.000104 0.000833
S5	 0.384591 0.188345 0.011460 0.029272 0.246819 0.078447 0.014376 0.016356 0.011573 0.004688 0.000625 0.009376 0.001673 0.000833 0.000729 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000104 0.000000 0.000209 0.000000 0.000000 0.000000 0.000000 0.000104 0.000104 0.000104 0.000312
S6	 0.040318 0.188343 0.123554 0.022098 0.140320 0.050318 0.003232 0.000838 0.013858 0.025003 0.001357 0.000631 0.042711 0.021564 0.008959 0.000730 0.018543 0.056876 0.065003 0.091675 0.004896 0.011563 0.005000 0.000105 0.005521 0.008646 0.003229 0.000521 0.008021 0.010313 0.012188 0.014169
S7	 0.110838 0.024922 0.000474 0.000109 0.336362 0.039585 0.000521 0.003229 0.072502 0.023333 0.000104 0.010417 0.025521 0.010000 0.000313 0.001042 0.027292 0.175000 0.108125 0.015104 0.000417 0.000625 0.000417 0.005417 0.000208 0.000000 0.001250 0.001979 0.000000 0.004063 0.000729 0.000208
S8	 0.047505 0.058447 0.043347 0.101064 0.051571 0.063760 0.293340 0.089695 0.002917 0.012084 0.020729 0.034688 0.043230 0.037396 0.009583 0.016875 0.002501 0.002084 0.001980 0.005521 0.002085 0.000836 0.000523 0.001461 0.000834 0.001251 0.000625 0.000625 0.005731 0.008126 0.013021 0.026667
S9	 0.010938 0.022503 0.005625 0.006251 0.161686 0.147849 0.023337 0.006980 0.120017 0.009272 0.001771 0.015211 0.245529 0.003229 0.001563 0.005104 0.197821 0.002919 0.000521 0.003750 0.002604 0.000000 0.000312 0.001979 0.000000 0.000521 0.000417 0.000729 0.000729 0.000104 0.000208 0.000625
