R0	 0.001048 0.000002 0.000000 0.001250 0.028569 0.000664 0.000417 0.000730 0.221262 0.002094 0.002188 0.014899 0.204377 0.006458 0.003021 0.005104 0.071979 0.199062 0.217500 0.015313 0.001771 0.000104 0.000000 0.002292 0.000000 0.000000 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000
R1	 0.001875 0.006459 0.006357 0.002485 0.003438 0.052293 0.336150 0.258440 0.000104 0.013958 0.112604 0.196876 0.000000 0.000313 0.000208 0.000417 0.000000 0.000104 0.000104 0.001042 0.000000 0.000000 0.000417 0.006459 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
R2	 0.600232 0.020862 0.001569 0.018442 0.186682 0.005417 0.005104 0.017189 0.007396 0.000000 0.000000 0.010938 0.015834 0.000000 0.000000 0.000000 0.050002 0.033335 0.017188 0.003438 0.003126 0.000000 0.000000 0.000001 0.000106 0.000000 0.000000 0.000000 0.003132 0.000004 0.000108 0.000000
R3	 0.030209 0.047924 0.076462 0.045834 0.124483 0.057534 0.110012 0.241150 0.023546 0.017205 0.012088 0.029275 0.030106 0.057296 0.074168 0.003855 0.003333 0.008438 0.000104 0.002083 0.000000 0.000313 0.000312 0.003437 0.000000 0.000104 0.000000 0.000104 0.000000 0.000000 0.000104 0.000625
R4	 0.000314 0.009688 0.000000 0.000000 0.063855 0.066354 0.000312 0.000000 0.041252 0.028028 0.000731 0.000833 0.134806 0.015526 0.005523 0.009480 0.050530 0.374112 0.183443 0.014899 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000417 0.000000 0.000000 0.000000
R5	 0.000837 0.000317 0.000315 0.012398 0.354603 0.241596 0.069169 0.023023 0.024072 0.006989 0.002500 0.012085 0.012813 0.002292 0.004167 0.002500 0.003126 0.068127 0.128646 0.027396 0.000001 0.000105 0.000209 0.002500 0.000000 0.000000 0.000000 0.000000 0.000105 0.000105 0.000001 0.000107
R6	 0.193259 0.098582 0.023335 0.040419 0.471681 0.041360 0.021668 0.075627 0.000001 0.000208 0.002500 0.025732 0.000001 0.000000 0.000104 0.003854 0.000000 0.000105 0.000105 0.001355 0.000000 0.000000 0.000000 0.000208 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
R7	 0.060004 0.078562 0.164716 0.200350 0.085001 0.106669 0.079689 0.084167 0.000521 0.001563 0.000833 0.008438 0.005000 0.000417 0.000521 0.000417 0.000105 0.000104 0.000104 0.000000 0.002084 0.002188 0.001250 0.000833 0.001563 0.001354 0.000625 0.000833 0.039688 0.028960 0.022190 0.021357
R8	 0.021044 0.105756 0.029274 0.020211 0.218862 0.290437 0.023031 0.019794 0.077188 0.071776 0.006578 0.025216 0.037292 0.010104 0.001354 0.000208 0.011458 0.018646 0.003958 0.001146 0.000313 0.000833 0.000521 0.002708 0.000417 0.000312 0.000208 0.000000 0.000937 0.000104 0.000000 0.000417
R9	 0.004282 0.001563 0.000417 0.000937 0.039487 0.337813 0.167812 0.036250 0.040521 0.145313 0.097396 0.049063 0.021877 0.015729 0.005729 0.002917 0.016255 0.008021 0.001458 0.001042 0.000538 0.001042 0.001146 0.000521 0.000117 0.000214 0.000108 0.000004 0.001579 0.000739 0.000214 0.000001
R10	 0.011675 0.106689 0.058135 0.089487 0.252411 0.340862 0.081151 0.037920 0.005105 0.000625 0.000417 0.011460 0.000521 0.000208 0.000000 0.000104 0.000104 0.000104 0.000104 0.001250 0.000000 0.000104 0.000104 0.001458 0.000000 0.000000 0.000000 0.000000 0.000000 0.000104 0.000000 0.000000
R11	 0.062857 0.016187 0.007396 0.011563 0.003232 0.000418 0.000000 0.000000 0.000209 0.000000 0.000000 0.000000 0.002188 0.000104 0.000312 0.000000 0.058958 0.163333 0.019063 0.000625 0.437606 0.091250 0.005313 0.000521 0.060420 0.001354 0.000312 0.000521 0.044694 0.003542 0.005417 0.002708
R12	 0.002709 0.019064 0.013981 0.021410 0.003334 0.038750 0.032509 0.001470 0.000000 0.025209 0.234375 0.051355 0.000104 0.000104 0.000104 0.000313 0.000000 0.000104 0.000208 0.000104 0.000000 0.000104 0.000417 0.003542 0.000000 0.000104 0.000208 0.006667 0.000417 0.022813 0.350209 0.170417
R13	 0.102822 0.125316 0.010631 0.000523 0.149279 0.332224 0.006150 0.001564 0.010836 0.001355 0.000521 0.000000 0.032814 0.000938 0.000000 0.000000 0.049693 0.052397 0.013646 0.000208 0.052819 0.013542 0.000313 0.000104 0.020522 0.000313 0.000104 0.000000 0.021256 0.000209 0.000004 0.000001
R14	 0.063022 0.000424 0.000001 0.003854 0.125426 0.013250 0.001366 0.003126 0.071462 0.007189 0.000105 0.008337 0.128439 0.014375 0.001979 0.005104 0.057917 0.059794 0.241286 0.175522 0.002917 0.000313 0.000625 0.011459 0.000521 0.000104 0.000104 0.000104 0.001771 0.000208 0.000000 0.000000
